Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units
6424fe668c830bbda3da0095,Black,31.1,US,"October 30, 2022",B09JG59MGK,120mm,Dracaena Store,52,208,4
6425fee68c830bbda3ec4967,Black,31.1,US,"October 31, 2022",B09JG59MGK,120mm,Dracaena Store,52,208,4
6432c9c92573fba749dae07e,Black,31.1,US,"November 10, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,384.93,7
6432c9272573fba749dad232,Black,41.1,US,"November 10, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,69,1
6434de63334b3086adf5139c,Black,41.1,US,"November 11, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,69,1
6434deea334b3086adf51f18,Black,31.1,US,"November 11, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,439.92,8
6435da0a334b3086ad02719a,Black,41.1,US,"November 12, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,69,1
6435da0a334b3086ad02719d,Black,41.1,US,"November 15, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,69,1
6435da9a334b3086ad027a4a,Black,31.1,US,"November 16, 2022",B09JG59MGK,120mm,Dracaena Store,54.24,216.97,4
6435da9a334b3086ad027a4b,Black,31.1,US,"November 17, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,384.93,7
6435da9a334b3086ad027a4c,Black,31.1,US,"November 18, 2022",B09JG59MGK,120mm,Dracaena Store,54.25,434,8
6435da9a334b3086ad027a46,Black,31.1,US,"November 12, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,219.96,4
6435da9a334b3086ad027a47,Black,31.1,US,"November 13, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,219.96,4
6435da9a334b3086ad027a48,Black,31.1,US,"November 14, 2022",B09JG59MGK,120mm,Dracaena Store,54.66,491.92,9
6435da9a334b3086ad027a49,Black,31.1,US,"November 15, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,109.98,2
6436a7de334b3086ad0b3a73,Black,31.1,MX,"November 18, 2022",B09JG59MGK,120mm,Dracaena Store,51.04,51.04,1
6436b832334b3086ad0b9075,Black,31.1,CA,"November 16, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
6440a240c0c3edd418f77d7e,Black,31.1,IT,"April 15, 2023",B09JG59MGK,120mm,Dracaena Store,62.1191,62.1191,1
6440a260c0c3edd418f78034,Black,41.1,IT,"April 19, 2023",B09JG4TTP2,240mmm,Dracaena Store,75.1991,75.1991,1
