ASIN,Color,countryCode,Date,Order ID,Size,Store,Cost,Price to USD,Sales to USD,Units Sold
B09JG4TTP2,Black,US,3/6/2023,649bcd46c7011f374097cf2e,240mm,Ingenious Store,41.1,79.99,79.99,1
B09JG4TTP2,Black,US,3/31/2023,649bca14c7011f374097a9e5,240mm,Ingenious Store,41.1,79.99,79.99,1
B09JG59MGK,Black,US,1/21/2023,649bd3b1c7011f37409819a8,120mm,Ingenious Store,31.1,55.99,55.99,1
B09JG59MGK,Black,US,1/30/2023,649bd070c7011f374097f44f,120mm,Ingenious Store,31.1,55.99,55.99,1
B09JG59MGK,Black,US,1/10/2023,649bd3b1c7011f374098199d,120mm,Ingenious Store,31.1,58.99,58.99,1
B09JG59MGK,Black,US,4/30/2023,649bc6c9c7011f3740978483,120mm,Ingenious Store,31.1,63.99,63.99,1
B09JG5X1PY,Black,US,2/3/2023,649bd063c7011f374097f3bd,360mm,Ingenious Store,51,82.99,82.99,1
B09JG5X1PY,Black,US,2/4/2023,649bd063c7011f374097f3be,360mm,Ingenious Store,51,82.99,82.99,1
B09JG5X1PY,Black,US,2/6/2023,649bd063c7011f374097f3c0,360mm,Ingenious Store,51,82.99,82.99,1
B09JG5X1PY,Black,US,2/7/2023,649bd063c7011f374097f3c1,360mm,Ingenious Store,51,82.99,82.99,1
B09JG5X1PY,Black,US,2/9/2023,649bd063c7011f374097f3c3,360mm,Ingenious Store,51,82.99,82.99,1
B09JG5X1PY,Black,US,2/17/2023,649bd063c7011f374097f3cb,360mm,Ingenious Store,51,82.99,82.99,1
B09JG5X1PY,Black,US,5/30/2023,649bc36fc7011f3740975ea9,360mm,Ingenious Store,51,84.99,84.99,1
B09JG5X1PY,Black,US,6/2/2023,649bc36fc7011f3740975eac,360mm,Ingenious Store,51,84.99,84.99,1
B09JG5X1PY,Black,US,6/14/2023,649bc36fc7011f3740975eb8,360mm,Ingenious Store,51,84.99,84.99,1
B09JG5X1PY,Black,US,6/16/2023,649bc36fc7011f3740975eba,360mm,Ingenious Store,51,84.99,84.99,1
B09JG5X1PY,Black,US,1/7/2023,649bd3a3c7011f3740981904,360mm,Ingenious Store,51,85.99,85.99,1
B09JG5X1PY,Black,US,1/12/2023,649bd3a3c7011f3740981909,360mm,Ingenious Store,51,85.99,85.99,1
B09JG5X1PY,Black,US,1/18/2023,649bd3a3c7011f374098190f,360mm,Ingenious Store,51,85.99,85.99,1
B09JG5X1PY,Black,US,1/31/2023,649bd063c7011f374097f3ba,360mm,Ingenious Store,51,85.99,85.99,1
B09JG5X1PY,Black,US,2/21/2023,649bd063c7011f374097f3cf,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,2/23/2023,649bd063c7011f374097f3d1,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,2/25/2023,649bd063c7011f374097f3d3,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,2/27/2023,649bd063c7011f374097f3d5,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/3/2023,649bcd37c7011f374097ce77,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/6/2023,649bcd37c7011f374097ce7a,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/19/2023,649bcd37c7011f374097ce87,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/25/2023,649bcd37c7011f374097ce8d,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/26/2023,649bcd37c7011f374097ce8e,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/28/2023,649bcd37c7011f374097ce90,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/30/2023,649bca04c7011f374097a930,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,3/31/2023,649bca04c7011f374097a931,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/1/2023,649bca04c7011f374097a932,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/2/2023,649bca04c7011f374097a933,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/5/2023,649bca04c7011f374097a936,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/7/2023,649bca04c7011f374097a938,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/8/2023,649bca04c7011f374097a939,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/10/2023,649bca04c7011f374097a93b,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/11/2023,649bca04c7011f374097a93c,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/12/2023,649bca04c7011f374097a93d,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/18/2023,649bca04c7011f374097a943,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/19/2023,649bca04c7011f374097a944,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/21/2023,649bca04c7011f374097a946,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/23/2023,649bca04c7011f374097a948,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,4/29/2023,649bc6bdc7011f37409783ec,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,5/8/2023,649bc6bdc7011f37409783f5,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,5/11/2023,649bc6bdc7011f37409783f8,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,5/14/2023,649bc6bdc7011f37409783fb,360mm,Ingenious Store,51,89.99,89.99,1
