Asin,Color,Country Code,"Month, Day, Year of Date",Order ID,Size,Store,Cost,Price,Profit,Sales,Units
B09JG5X1PY,Black,US,4/13/2023,649bca04c7011f374097a93e,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,4/25/2023,649bca04c7011f374097a94a,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,4/27/2023,649bca04c7011f374097a94c,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,4/28/2023,649bca04c7011f374097a94d,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,3/30/2023,649bca04c7011f374097a930,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,3/31/2023,649bca04c7011f374097a931,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/1/2023,649bca04c7011f374097a932,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/2/2023,649bca04c7011f374097a933,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/5/2023,649bca04c7011f374097a936,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/7/2023,649bca04c7011f374097a938,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/8/2023,649bca04c7011f374097a939,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/15/2023,649bca04c7011f374097a940,360mm,Ingenious Store,51,89.99,116.97,269.97,3
B09JG5X1PY,Black,US,4/17/2023,649bca04c7011f374097a942,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,4/18/2023,649bca04c7011f374097a943,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/19/2023,649bca04c7011f374097a944,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/20/2023,649bca04c7011f374097a945,360mm,Ingenious Store,51,89.99,116.97,269.97,3
B09JG5X1PY,Black,US,4/21/2023,649bca04c7011f374097a946,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,4/22/2023,649bca04c7011f374097a947,360mm,Ingenious Store,51,89.99,77.98,179.98,2
B09JG5X1PY,Black,US,4/23/2023,649bca04c7011f374097a948,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,3/6/2023,649bcd37c7011f374097ce7a,360mm,Ingenious Store,51,89.99,38.99,89.99,1
B09JG5X1PY,Black,US,3/25/2023,649bcd37c7011f374097ce8d,360mm,Ingenious Store,51,89.99,38.99,89.99,1
